Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name, resistance label,Date,latitude,longitude 
1752,104030,Samuel and James,,"St. Kitts, port unspecified","Virginia, port unspecified",8,"Smith, John",,1752-01-01,17.3,-62.71667
1752,104071,Fredericksburg,,"Barbados, place unspecified",Rappahannock,35,"Holmes, William",,1752-01-01,#N/A,#N/A
1752,104091,Success,,"Barbados, place unspecified","Virginia, port unspecified",2,"Cranston, Jeremiah",,1752-01-01,#N/A,#N/A
1752,104092,Molly,,"Barbados, place unspecified","Virginia, port unspecified",10,"Chamberline, Roger",,1752-01-01,#N/A,#N/A
1752,104093,Africa,,"Barbados, place unspecified",South Potomac,16,"Lundin, James",,1752-01-01,#N/A,#N/A
1752,104457,Nansemond,,"Barbados, place unspecified",Lower James River,21,"Irwin, James",,1752-01-01,#N/A,#N/A
1752,104458,Mermaid,,"Antigua, place unspecified",Lower James River,2,"Blake, Patrick",,1752-01-01,#N/A,#N/A
1752,104629,Susanna,,"South Carolina, place unspecified",Rappahannock,2,"Lang, William",,1752-01-01,#N/A,#N/A
1752,107173,Two Brothers,,Piscataqua,"Virginia, port unspecified",,"Ratliffs, Samuel",,1752-01-01,43.10056,-70.79333
1752,107980,Nancy,,"British Caribbean, colony unspecified",Lower James River,1,Carey,,1752-01-01,18,-76.8
1753,101350,Expedition,,"Barbados, place unspecified",Rappahannock,19,"Littledale, John",,1753-01-01,#N/A,#N/A
1753,101351,Hannah,,"Anguilla, port unspecified",Hampton,2,"White, Jesse",,1753-01-01,18.21667,-63.05
1754,101352,Lucky Gally,,Providence,Hampton,3,"Joell, William",,1754-01-01,41.8239,-71.4133
1754,101353,Rebecca,,"Antigua, place unspecified",Hampton,4,"Young, David",,1754-01-01,#N/A,#N/A
1754,101354,Providence,,"Barbados, place unspecified",Hampton,8,"McCall, Archibald",,1754-01-01,#N/A,#N/A
1754,101355,Fanny,,"Antigua, place unspecified",Hampton,8,"Haynes, William",,1754-01-01,#N/A,#N/A
1754,101356,Pride,,"Barbados, place unspecified",York River,6,"Bedford, Thomas",,1754-01-01,#N/A,#N/A
1754,101357,Charming Ann,,Bermuda,York River,4,"Baker, Richard",,1754-01-01,32.29417,-64.78389
1754,101358,Nancy,,"Barbados, place unspecified",York River,31,"Wallis, Richard",,1754-01-01,#N/A,#N/A
1754,101359,Betsey,,"Montserrat, port unspecified",Hampton,6,"Calvert, William",,1754-01-01,16.7,-62.21667
1754,101360,Rebecca,,"Antigua, place unspecified",Hampton,15,"Young, David",,1754-01-01,#N/A,#N/A
1754,101361,Judith,,"Barbados, place unspecified",York River,3,"Power, Jeffrey",,1754-01-01,#N/A,#N/A
1754,101362,Rose,,"Barbados, place unspecified",Hampton,40,"Cuthbert, William",,1754-01-01,#N/A,#N/A
1754,101363,Catherine and Mary,,"Montserrat, port unspecified",Hampton,3,"Righton, Stephen",,1754-01-01,16.7,-62.21667
1754,101364,Lucky Gally,,Turk's Island,Hampton,2,"Joell, Solomon",,1754-01-01,21.4,-71.11667
1754,101367,Industry,,"Barbados, place unspecified",Hampton,2,"Calvert, Saunders",,1754-01-01,#N/A,#N/A
1754,101368,Charming Ann,,Bermuda,Upper James River,4,"Godfrey, Edward",,1754-01-01,32.29417,-64.78389
1754,104094,Two Friends,,"Antigua, place unspecified","Virginia, port unspecified",18,"Higgins, Jacob",,1754-01-01,#N/A,#N/A
1754,107973,Nanny,,"Antigua, place unspecified",Hampton,8,"Haymer, William",,1754-01-01,#N/A,#N/A
1754,107981,Freemason,,"Nevis, port unspecified",Lower James River,2,Devereaux,,1754-01-01,17.2,-62.58333
1755,101369,Caple,,"Jamaica, place unspecified",Hampton,1,"Mullins, William",,1755-01-01,#N/A,#N/A
1755,101370,Betsey,,Bermuda,Upper James River,2,"Cocke, James",,1755-01-01,32.29417,-64.78389
1755,101371,Charming Susanna,,"Jamaica, place unspecified",Hampton,54,"Wake, John",,1755-01-01,#N/A,#N/A
1755,101372,Fanny,,"Antigua, place unspecified",Hampton,3,"Peart, Francis",,1755-01-01,#N/A,#N/A
1755,101373,Frances,,"Barbados, place unspecified",Hampton,37,"Loyall, John",,1755-01-01,#N/A,#N/A
1755,101374,Kingston,,"Barbados, place unspecified",York River,1,"Thompkins, Robert",,1755-01-01,#N/A,#N/A
1755,102679,Polly,,Kingston,"Virginia, port unspecified",,"Almy, Benjamin",,1755-01-01,17.98333,-76.8
1755,104034,Fanny,,"Barbados, place unspecified","Virginia, port unspecified",11,"Henderson, Thomas",,1755-01-01,#N/A,#N/A
1755,104470,Allethea,,Spanish Town,Lower James River,2,"Laborn, Joseph",,1755-01-01,17.98333,-76.95
1755,104471,Warwick,,"Barbados, place unspecified",Lower James River,1,"Darrell, William",,1755-01-01,#N/A,#N/A
1756,101375,Charming Ann,,Bermuda,Upper James River,2,"Baker, Richard",,1756-01-01,32.29417,-64.78389
1757,101376,Sarah,,New England,Hampton,4,"Caldwell, John",,1757-01-01,44.12283,-69.17
1758,101377,Polly and Hellen,,"Barbados, place unspecified",Hampton,8,"Calvert, John",,1758-01-01,#N/A,#N/A
1758,101378,Jamestown,,"Barbados, place unspecified",Hampton,1,"Peart, Francis",,1758-01-01,#N/A,#N/A
1758,101379,Frances,,"Antigua, place unspecified",Hampton,26,"Loyall, John",,1758-01-01,#N/A,#N/A
1758,104839,Mars,,"Americas, port unspecified","Virginia, port unspecified",8,"Bureton, Thomas",,1758-01-01,0,0
1759,101380,Nancy,,"St. Kitts, port unspecified",Accomac,10,"Lamont, Ardis",,1759-01-01,17.3,-62.71667
1760,101381,Industry,,"Barbados, place unspecified",Hampton,6,"Smallwood, Charles",,1760-01-01,#N/A,#N/A
1761,101382,Industry,,"Barbados, place unspecified",York River,5,"Smallwood, Charles",,1761-01-01,#N/A,#N/A
1762,101383,Molly,,Bermuda,Accomac,5,"Peniston, Samuel",,1762-01-01,32.29417,-64.78389
1762,101384,Rising Sun,,Nantucket,Accomac,10,"Easterbrook, John",,1762-01-01,41.2834704,-70.099459
1762,101385,William,,Boston,Upper James River,5,"Cox, Joseph",,1762-01-01,42.36166,-71.05947
1762,101386,Duck,,Piscataqua,Upper James River,3,"Vicker, William",,1762-01-01,43.10056,-70.79333
1762,101387,Africa,,Perth Amboy,Upper James River,15,"Hammond, Stephen",,1762-01-01,40.50645,-74.26577
1762,104634,Calypso,,"Rhode Island, port unspecified","Virginia, port unspecified",5,"Taylor, Edward",,1762-01-01,41.49,-71.31
1762,104649,Eagle,,Piscataqua,"Virginia, port unspecified",4,"Vicker, William",,1762-01-01,43.10056,-70.79333
1762,107194,Nancy,,Boston,"Virginia, port unspecified",,"Mosely, Anthony",,1762-01-01,42.36166,-71.05947
1763,101388,Pope's Head,,"Antigua, place unspecified",Hampton,18,"Adams, William",,1763-01-01,#N/A,#N/A
1763,101389,Duke of York,,"St. Kitts, port unspecified",Hampton,10,"Cooper, Benjamin",,1763-01-01,17.3,-62.71667
1763,101390,Greyhound,,"Grenada, place unspecified",Hampton,8,"Shaw, Alexander",,1763-01-01,#N/A,#N/A
1763,101391,John and Susanna,,"Antigua, place unspecified",York River,4,"Mudie, James",,1763-01-01,#N/A,#N/A
1763,104095,Industry,,"St. Kitts, port unspecified","Virginia, port unspecified",14,"Thompson, John",,1763-01-01,17.3,-62.71667
1764,101392,Batchelor,,"Barbados, place unspecified",Hampton,4,"Eastment, James",,1764-01-01,#N/A,#N/A
1764,101393,John,,"Barbados, place unspecified",Hampton,4,"Seymour, Stephen",,1764-01-01,#N/A,#N/A
1764,101394,Speedwell,,"Barbados, place unspecified",Hampton,1,"Mason, Nathaniel N.",,1764-01-01,#N/A,#N/A
1764,101395,Hoope,,"Barbados, place unspecified",Hampton,9,"Peart, Francis",,1764-01-01,#N/A,#N/A
1764,101396,Peggy,,"Antigua, place unspecified",Hampton,5,"Calvert, John",,1764-01-01,#N/A,#N/A
1764,104096,Betsey,,"St. Kitts, port unspecified","Virginia, port unspecified",7,"Heffington, William",,1764-01-01,17.3,-62.71667
1764,104484,Ann,,"Barbados, place unspecified",Hampton,16,"Dawson, James",,1764-01-01,#N/A,#N/A
1764,104486,Lancaster,,"Jamaica, place unspecified",Hampton,6,"Lewellan, Luke",,1764-01-01,#N/A,#N/A
1765,101397,Susanna,,"Antigua, place unspecified",Hampton,10,"Westcott, John",,1765-01-01,#N/A,#N/A
1765,101398,Mary,,"Barbados, place unspecified",Hampton,2,"Caron, Daniel",,1765-01-01,#N/A,#N/A
1765,101399,Little Archey,,"Grenada, place unspecified",Hampton,8,"Consaull, Charles",,1765-01-01,#N/A,#N/A
1765,101400,Prince of Wales,,"Barbados, place unspecified",Hampton,32,"Edey, Solomon",,1765-01-01,#N/A,#N/A
1765,101401,Esther,,"Nevis, port unspecified",Hampton,11,"Harvey, Seth",,1765-01-01,17.2,-62.58333
1765,101402,Sally,,"Barbados, place unspecified",Hampton,3,"Hutchins, Thomas",,1765-01-01,#N/A,#N/A
1765,104097,Nancy,,"Barbados, place unspecified","Virginia, port unspecified",19,"Hilton, Henry",,1765-01-01,#N/A,#N/A
1765,104098,Priscilla,,"Barbados, place unspecified","Virginia, port unspecified",24,"Conway, Rich",,1765-01-01,#N/A,#N/A
1766,102731,Providence,,Kingston,"Virginia, port unspecified",,"Watworth, Joseph",,1766-01-01,17.98333,-76.8
1766,104495,Little Molly,,"Barbados, place unspecified",Hampton,6,"Simms, Rich",,1766-01-01,#N/A,#N/A
1766,104496,Two Friends,,"Antigua, place unspecified","Virginia, port unspecified",9,"Keeble, Humphrey",,1766-01-01,#N/A,#N/A
1766,104635,John and Betsey,,Philadelphia,"Virginia, port unspecified",1,"Bunting, William",,1766-01-01,39.9522,-75.1642
1767,101404,Hawke,,"St. Kitts, port unspecified",Hampton,7,"Bayley, Wilson B.",,1767-01-01,17.3,-62.71667
1767,101405,Black Prince,,"Antigua, place unspecified",Hampton,40,"Thomas, Charles",,1767-01-01,#N/A,#N/A
1767,103880,Peggy,,"Antigua, place unspecified","Virginia, port unspecified",5,"Webb, George",,1767-01-01,#N/A,#N/A
1767,104144,Defiance,,"Dominica, place unspecified",Upper James River,10,"Clarke, John",,1767-01-01,#N/A,#N/A
1767,104497,Norfolk,,"Jamaica, place unspecified","Virginia, port unspecified",6,"Southerland, John",,1767-01-01,#N/A,#N/A
1768,101406,Two Friends,,"Antigua, place unspecified",Hampton,9,"Keeble, Humphrey",,1768-01-01,#N/A,#N/A
1768,101407,Defyance,,"Antigua, place unspecified",Hampton,10,"Stewart, Roger",,1768-01-01,#N/A,#N/A
1768,101408,Content,,"St. Kitts, port unspecified",Hampton,4,"Martin, David",,1768-01-01,17.3,-62.71667
1769,101409,Clyde,,"Antigua, place unspecified",Upper James River,2,"Buchanan, Matthew",,1769-01-01,#N/A,#N/A
1769,101410,Darby,,Salem,Upper James River,1,"Allen, John",,1769-01-01,42.5194,-70.8972
1769,104101,Peggy,,"Antigua, place unspecified","Virginia, port unspecified",10,"Wise, Samuel",,1769-01-01,#N/A,#N/A
1769,104146,Roe Gally,,"Antigua, place unspecified","Virginia, port unspecified",,"McKinley, Pat",,1769-01-01,#N/A,#N/A
1769,104147,Lilly,,"Antigua, place unspecified","Virginia, port unspecified",,?,,1769-01-01,#N/A,#N/A
1769,104500,Fanny,,St. Eustatius,"Virginia, port unspecified",25,"Oliffe, John",,1769-01-01,17.46667,-62.98333
1769,104626,Success,,Piscataqua,"Virginia, port unspecified",1,"Stanwood, Joseph",,1769-01-01,43.10056,-70.79333
1769,104630,Industry,,"Rhode Island, port unspecified","Virginia, port unspecified",1,"Shepardson, Elijah",,1769-01-01,41.49,-71.31
1770,103875,Speirs,,"Barbados, place unspecified","Virginia, port unspecified",15,"Lusk, James",,1770-01-01,#N/A,#N/A
1770,104148,Warwick,,"Barbados, place unspecified","Virginia, port unspecified",26,"Macvey, An.",,1770-01-01,#N/A,#N/A
1770,104149,Industry,,"Barbados, place unspecified","Virginia, port unspecified",8,"Sinclair, Art",,1770-01-01,#N/A,#N/A
1771,103874,Nelly,,"Barbados, place unspecified",Rappahannock,90,"Orr, Hugh",,1771-01-01,#N/A,#N/A
1771,103883,John and Willis,,"Grenada, place unspecified","Virginia, port unspecified",22,"Wilson, Willis",,1771-01-01,#N/A,#N/A
1771,103884,Corlet,,"St. Vincent, port unspecified",Hampton,12,"Harris, John",,1771-01-01,13.13333,-61.21667
1771,103885,Liberty,,"Nevis, port unspecified",Hampton,24,"Parrott, James",,1771-01-01,17.2,-62.58333
1771,104038,Hope,,"Grenada, place unspecified","Virginia, port unspecified",16,"Wilson, Stephen",,1771-01-01,#N/A,#N/A
1771,104099,Swift,,"Jamaica, place unspecified","Virginia, port unspecified",7,"Sanford, Lawrence",,1771-01-01,#N/A,#N/A
1771,104150,Nancy,,"Antigua, place unspecified",Hampton,29,"Wise, Samuel",,1771-01-01,#N/A,#N/A
1771,104151,Jenny,,"Barbados, place unspecified","Virginia, port unspecified",12,"Tullarton, William",,1771-01-01,#N/A,#N/A
1771,104152,Nancy,,"Grenada, place unspecified","Virginia, port unspecified",10,"Paterson, Peter",,1771-01-01,#N/A,#N/A
1771,104501,Sally,,"Barbados, place unspecified",Hampton,15,"Hatton, Lewis",,1771-01-01,#N/A,#N/A
1771,104502,Rochard,,"Grenada, place unspecified","Virginia, port unspecified",4,"Clausland, William",,1771-01-01,#N/A,#N/A
1771,104503,Hansford,,"Antigua, place unspecified",Hampton,47,"Wilson, Chris",,1771-01-01,#N/A,#N/A
1771,104504,Smithfield,,"St. Kitts, port unspecified",Hampton,6,"Cochrane, Alexander",,1771-01-01,17.3,-62.71667
1771,104505,Diana,,"Antigua, place unspecified",Hampton,4,"McClenahan, William",,1771-01-01,#N/A,#N/A
1771,104506,Molly,,"Nevis, port unspecified",Hampton,81,"Edgar, Thomas",,1771-01-01,17.2,-62.58333
1771,104507,Grace,,"Antigua, place unspecified",Hampton,3,"Blaws, Robert",,1771-01-01,#N/A,#N/A
1771,104508,Botetourt,,"Jamaica, place unspecified",Hampton,12,"Pollock, Thomas",,1771-01-01,#N/A,#N/A
1771,104510,Pearle,,"Barbados, place unspecified",Hampton,43,"Brett, William",,1771-01-01,#N/A,#N/A
1771,104511,Black Prince,,"Antigua, place unspecified",Hampton,7,"Elliot, Robert",,1771-01-01,#N/A,#N/A
1771,104512,Hansford,,"Antigua, place unspecified",Hampton,66,"Wilson, Chris",,1771-01-01,#N/A,#N/A
1771,104513,Little Molly,,"Barbados, place unspecified",Hampton,2,"Williamson, Joseph",,1771-01-01,#N/A,#N/A
1771,104514,Alice,,"Barbados, place unspecified",Hampton,12,"Carlton, George",,1771-01-01,#N/A,#N/A
1771,104515,Young Matthew,,"Antigua, place unspecified",Hampton,10,"Cooper, Abram",,1771-01-01,#N/A,#N/A
1771,104516,Fanny,,"Nevis, port unspecified",Hampton,7,"Catlin, Francis",,1771-01-01,17.2,-62.58333
1771,104517,Nancy,,"Nevis, port unspecified",Hampton,15,"Mowbray, John",,1771-01-01,17.2,-62.58333
1771,104518,Tanner,,"St. Kitts, port unspecified",Hampton,5,"Kelso, John",,1771-01-01,17.3,-62.71667
1771,104519,Matty,,"Nevis, port unspecified",Hampton,4,"Mackie, Rich",,1771-01-01,17.2,-62.58333
1771,104520,Donald,,"Tobago, port unspecified",Hampton,8,"Roberts, Thomas",,1771-01-01,11.25,-60.66667
1771,104521,Philadelphia,,"Barbados, place unspecified",Hampton,8,"Riding, John",,1771-01-01,#N/A,#N/A
1771,104522,Liberty,,"Barbados, place unspecified",Hampton,1,"Cowper, John",,1771-01-01,#N/A,#N/A
1771,104523,Two Sisters,,"Barbados, place unspecified",Hampton,2,"Maxwell, James",,1771-01-01,#N/A,#N/A
1771,104524,Four Sisters,,"St. Vincent, port unspecified","Virginia, port unspecified",10,"Brown, Bristow",,1771-01-01,13.13333,-61.21667
1771,104525,Douglass,,"St. Kitts, port unspecified",Hampton,30,"Bryson, Peter",,1771-01-01,17.3,-62.71667
1771,104526,Hansford,,"Antigua, place unspecified",Hampton,3,"Wilson, Chris",,1771-01-01,#N/A,#N/A
1771,104527,Wray Gally,,"Barbados, place unspecified",Hampton,8,"Davis, David",,1771-01-01,#N/A,#N/A
1771,104528,Young Matthew,,"Antigua, place unspecified",Hampton,5,"Cooper, Abram",,1771-01-01,#N/A,#N/A
1771,104529,Alice,,"Barbados, place unspecified",Hampton,2,"Carlton, George",,1771-01-01,#N/A,#N/A
1771,104530,Patty,,St. Maarten,Hampton,2,"Barrott, John",,1771-01-01,18.1,-63.03333
1771,104713,Katy,,Bermuda,"Virginia, port unspecified",5,"Ryburn, Art",,1771-01-01,32.29417,-64.78389
1771,107974,James,,"Grenada, place unspecified",Hampton,29,"Rock, George",,1771-01-01,#N/A,#N/A
1771,107975,Polly,,Bermuda,Rappahannock,5,"Parker, John",,1771-01-01,32.29417,-64.78389
1771,107976,Nally,,St. Maarten,Hampton,2,"Basset, J.",,1771-01-01,18.1,-63.03333
1772,102276,Dunmore,,"Antigua, place unspecified","Virginia, port unspecified",,"Marnex, John",,1772-01-01,#N/A,#N/A
1772,102296,Hansford,,"Antigua, place unspecified","Virginia, port unspecified",,"Wilson, Christopher",,1772-01-01,#N/A,#N/A
1772,102297,Assistance,,"Antigua, place unspecified","Virginia, port unspecified",,"Loudon, David",,1772-01-01,#N/A,#N/A
1772,102299,Black Prince,,"Antigua, place unspecified","Virginia, port unspecified",,"Elliott, Robert",,1772-01-01,#N/A,#N/A
1772,102302,Jenet,,"Antigua, place unspecified","Virginia, port unspecified",,"Poole, William",,1772-01-01,#N/A,#N/A
1772,102303,Nosborn,,"Antigua, place unspecified","Virginia, port unspecified",,"Maxwell, Robert",,1772-01-01,#N/A,#N/A
1772,102304,William,,"Antigua, place unspecified","Virginia, port unspecified",,"Keeble, George",,1772-01-01,#N/A,#N/A
1772,102314,Smithfield,,"Antigua, place unspecified",Hampton,12,"Cochrane, Alexander",,1772-01-01,#N/A,#N/A
1772,103886,Peggy,,"Grenada, place unspecified",Hampton,4,"Calvert, John",,1772-01-01,#N/A,#N/A
1772,103887,Fanny,,"Grenada, place unspecified",Hampton,21,"Westcott, William",,1772-01-01,#N/A,#N/A
1772,103888,Smithfield,,"St. Vincent, port unspecified",Hampton,20,"Cochrane, Alexander",,1772-01-01,13.13333,-61.21667
1772,103890,John and Willis,,"Tobago, port unspecified",Hampton,8,"Wilson, Samuel",,1772-01-01,11.25,-60.66667
1772,104074,Fredericksburg,,"Grenada, place unspecified",Rappahannock,3,"Sinclair, John",,1772-01-01,#N/A,#N/A
1772,104531,Liberty,,"Barbados, place unspecified",Hampton,1,"Cowper, John",,1772-01-01,#N/A,#N/A
1772,104532,Nancy,,"Antigua, place unspecified",Hampton,8,"Irwin, Thomas",,1772-01-01,#N/A,#N/A
1772,104534,Matty,,"Dominica, place unspecified",Hampton,2,"Latimer, Edward",,1772-01-01,#N/A,#N/A
1772,104535,Fanny,,"Grenada, place unspecified",Hampton,7,"Westcott, William",,1772-01-01,#N/A,#N/A
1772,104536,Black Prince,,"Grenada, place unspecified",Hampton,7,"Gray, Walter",,1772-01-01,#N/A,#N/A
1772,104537,Charlotte,,"Barbados, place unspecified",Hampton,15,"Baily, Wilson",,1772-01-01,#N/A,#N/A
1772,104538,Commerce,,"Antigua, place unspecified",Hampton,22,"Wood, John",,1772-01-01,#N/A,#N/A
1772,104540,Porter,,"St. Vincent, port unspecified",Hampton,3,"Kelsick, Rich",,1772-01-01,13.13333,-61.21667
1772,104541,Unity,,"Grenada, place unspecified",Hampton,5,"Knight, John",,1772-01-01,#N/A,#N/A
1772,104542,Liberty,,"Barbados, place unspecified",Hampton,27,"Rysam [Johnson?], William",,1772-01-01,#N/A,#N/A
1772,104543,Thomas,,"Antigua, place unspecified",Hampton,1,"Buckle [Brickle?], Wright",,1772-01-01,#N/A,#N/A
1772,104544,Little Molly,,"Antigua, place unspecified",Hampton,4,"Burrows, Thomas",,1772-01-01,#N/A,#N/A
1772,104567,Betsey,,"Barbados, place unspecified",Hampton,4,"Edey, Solomon",,1772-01-01,#N/A,#N/A
1772,104765,Success,,Bermuda,Hampton,20,"Williams, John",,1772-01-01,32.29417,-64.78389
1772,107977,Hansford,,"Antigua, place unspecified","Virginia, port unspecified",7,"Wilson, Christopher",,1772-01-01,#N/A,#N/A
1773,102309,Joseph and Betsey,,"Nevis, port unspecified","Virginia, port unspecified",,"Pray, Job",,1773-01-01,17.2,-62.58333
1773,103891,Hope,,"Tobago, port unspecified",Hampton,4,"Campbell, Duncan",,1773-01-01,11.25,-60.66667
1773,104766,Francis,,Bermuda,Hampton,1,"Outerbridge, Joseph",,1773-01-01,32.29417,-64.78389
1774,102365,Mary,,"Antigua, place unspecified","Virginia, port unspecified",,"Burch, D.",,1774-01-01,#N/A,#N/A
1774,103892,Live Oak,,"Grenada, place unspecified","Virginia, port unspecified",5,"Eve, John",,1774-01-01,#N/A,#N/A
1774,103893,Hope,,"Tobago, port unspecified","Virginia, port unspecified",4,"Campbell, Duncan",,1774-01-01,11.25,-60.66667
1774,104545,Grace and Sally,,"Antigua, place unspecified",Hampton,1,"Wilson, Chris",,1774-01-01,#N/A,#N/A
1774,104546,Phoenix,,"Antigua, place unspecified","Virginia, port unspecified",30,"Westcott, William",,1774-01-01,#N/A,#N/A
1775,100825,Fanny,,"Jamaica, place unspecified","Virginia, port unspecified",13,"Watson, William",,1775-01-01,#N/A,#N/A
